0	1	1
0	9	1
0	30	1
0	31	1
0	32	1
0	42	1
0	44	1
0	48	1
1	2	1
1	3	1
1	9	1
1	30	1
1	31	1
1	32	1
1	33	1
1	48	1
2	9	1
2	17	1
2	30	1
2	31	1
2	32	1
2	33	1
2	48	1
2	50	1
3	17	1
3	33	1
3	50	1
4	16	1
4	26	1
4	33	1
4	34	1
4	35	1
4	50	1
4	52	1
5	4	1
5	6	1
5	16	1
5	23	1
5	32	1
5	33	1
5	34	1
5	35	1
5	36	1
5	52	1
5	53	1
5	59	1
6	2	1
6	4	1
6	5	1
6	9	1
6	12	1
6	16	1
6	23	1
6	26	1
6	32	1
6	33	1
6	34	1
6	35	1
6	36	1
6	39	1
6	43	1
6	49	1
6	52	1
6	53	1
6	59	1
7	8	1
7	9	1
7	10	1
7	17	1
7	30	1
7	31	1
7	32	1
7	42	1
7	44	1
7	47	1
7	48	1
7	49	1
7	60	1
8	9	1
8	10	1
8	17	1
8	30	1
8	31	1
8	32	1
8	48	1
8	49	1
8	60	1
9	2	1
9	17	1
9	30	1
9	31	1
9	33	1
9	48	1
9	49	1
9	50	1
9	60	1
10	4	1
10	16	1
10	17	1
10	33	1
10	49	1
10	50	1
11	4	1
11	16	1
11	17	1
11	33	1
11	35	1
11	50	1
11	52	1
11	53	1
12	4	1
12	5	1
12	11	1
12	13	1
12	16	1
12	17	1
12	32	1
12	33	1
12	34	1
12	35	1
12	36	1
12	50	1
12	52	1
12	53	1
12	59	1
13	2	1
13	4	1
13	5	1
13	6	1
13	11	1
13	12	1
13	16	1
13	20	1
13	23	1
13	32	1
13	34	1
13	35	1
13	36	1
13	37	1
13	39	1
13	43	1
13	45	1
13	51	1
13	52	1
13	53	1
13	54	1
13	56	1
13	58	1
13	59	1
14	10	1
14	17	1
14	44	1
14	47	1
14	48	1
14	49	1
14	56	1
14	60	1
15	10	1
15	17	1
15	47	1
15	48	1
15	49	1
15	50	1
15	56	1
15	60	1
16	17	1
16	48	1
16	49	1
16	50	1
16	60	1
17	4	1
17	15	1
17	16	1
17	19	1
17	33	1
17	49	1
17	50	1
18	4	1
18	16	1
18	19	1
18	33	1
18	49	1
18	50	1
18	52	1
18	53	1
18	61	1
19	16	1
19	50	1
19	52	1
19	53	1
20	13	1
20	16	1
20	19	1
20	35	1
20	36	1
20	43	1
20	52	1
20	53	1
20	62	1
21	1	1
21	2	1
21	3	1
21	9	1
21	10	1
21	11	1
21	22	1
21	30	1
21	31	1
21	32	1
21	33	1
21	36	1
21	59	1
21	60	1
22	2	1
22	3	1
22	4	1
22	9	1
22	10	1
22	17	1
22	24	1
22	30	1
22	31	1
22	33	1
22	34	1
22	36	1
22	56	1
22	60	1
22	63	1
23	2	1
23	3	1
23	9	1
23	10	1
23	11	1
23	15	1
23	17	1
23	21	1
23	22	1
23	25	1
23	27	1
23	30	1
23	31	1
23	33	1
23	34	1
23	35	1
23	36	1
23	57	1
23	59	1
23	60	1
23	62	1
23	63	1
24	2	1
24	3	1
24	9	1
24	10	1
24	11	1
24	14	1
24	16	1
24	17	1
24	21	1
24	22	1
24	25	1
24	30	1
24	31	1
24	32	1
24	33	1
24	36	1
24	48	1
24	60	1
25	2	1
25	3	1
25	4	1
25	9	1
25	10	1
25	11	1
25	17	1
25	30	1
25	31	1
25	32	1
25	33	1
25	36	1
25	56	1
25	59	1
25	60	1
26	2	1
26	3	1
26	4	1
26	9	1
26	11	1
26	15	1
26	16	1
26	19	1
26	25	1
26	27	1
26	30	1
26	31	1
26	32	1
26	33	1
26	35	1
26	36	1
26	50	1
26	60	1
26	61	1
26	63	1
27	3	1
27	4	1
