5	59	1
6	59	1
12	59	1
13	56	1
13	58	1
13	59	1
14	56	1
15	56	1
21	59	1
22	56	1
23	57	1
23	59	1
25	56	1
25	59	1
27	56	1
27	57	1
27	59	1
28	56	1
28	57	1
28	58	1
28	59	1
29	56	1
30	56	1
31	56	1
32	56	1
33	56	1
34	56	1
35	57	1
36	57	1
36	58	1
36	59	1
37	57	1
37	58	1
37	59	1
38	56	1
38	57	1
38	59	1
39	58	1
39	59	1
40	56	1
41	56	1
41	59	1
42	57	1
43	59	1
44	56	1
45	56	1
45	58	1
46	55	1
46	56	1
47	56	1
48	56	1
48	57	1
48	58	1
49	56	1
49	57	1
49	58	1
50	56	1
50	57	1
50	58	1
51	56	1
51	57	1
51	58	1
52	56	1
52	57	1
52	58	1
53	56	1
53	58	1
53	59	1
54	56	1
54	58	1
54	59	1
55	11	1
55	15	1
55	49	1
55	56	1
55	57	1
55	60	1
55	61	1
56	8	1
56	15	1
56	19	1
56	34	1
56	48	1
56	49	1
56	54	1
56	57	1
56	60	1
56	61	1
56	63	1
57	16	1
57	47	1
57	48	1
57	49	1
57	54	1
57	56	1
57	58	1
57	63	1
58	10	1
58	17	1
58	19	1
58	52	1
58	54	1
58	56	1
58	57	1
58	59	1
58	61	1
58	62	1
58	63	1
59	10	1
59	17	1
59	54	1
59	56	1
59	58	1
59	61	1
59	62	1
59	63	1
60	55	1
60	56	1
61	56	1
61	58	1
62	56	1
62	57	1
62	58	1
62	59	1
